team,seed,region,record,from_first_four,wins,losses,conference,bart_rank,bart_adj_oe,bart_adj_de,bart_barthag,bart_em,hasla_rank,hasla_off,hasla_def,hasla_em,hasla_mom,hasla_sos,recent_form_raw,warrennolan_elo_rank,warrennolan_elo,warrennolan_net_rank,warrennolan_net_score,deepmetric_rank,deepmetric_elo,deepmetric_net,deepmetric_off,deepmetric_def,deepmetric_em,prg_average_rank,prg_score,bart_em_z,hasla_em_z,deepmetric_net_z,warrennolan_elo_z,prg_score_z,recent_form_z,composite_strength
Howard,16,Midwest,23-10,True,23,10,MEAC,205,103.5,106.2,0.4246,-2.700000000000003,209.0,103.240933,107.243987,-4.003054000000006,2.887809,0.195434,1.0,176,1321.61,203,-203,203,1595.0,-3.0,103.7,106.7,-3.0,214.0,-214.0,-1.5951459072258458,-1.7704992474233756,-1.6230547882608544,-1.8124633226822284,-2.032550139992355,1.1233661485653499,-1.4367145482079013
UMBC,16,Midwest,24-8,True,24,8,America East,184,107.6,109.2,0.456,-1.6000000000000085,192.0,109.011514,110.309571,-1.298057,8.113034,0.178663,1.0,126,1389.32,196,-196,181,1666.0,-2.4,107.9,110.3,-2.3999999999999915,190.8,-190.8,-1.504147650773365,-1.5528336895815866,-1.5760164054216421,-1.3517363022067692,-1.7101281574427898,1.1233661485653499,-1.267352264052943
Florida,1,South,26-7,False,26,7,SEC,4,126.1,92.3,0.9732,33.8,6.0,127.190577,92.031131,35.159446,-0.511218,0.755245,0.8,5,1786.41,4,-4,4,1958.0,34.3,125.5,91.2,34.3,4.6,-4.6,1.4243416932428465,1.3808267647603907,1.301164678243501,1.3502293241497532,0.8775862025024305,0.2962723908304222,1.2162205826703687
Houston,2,South,28-6,False,28,6,Big 12,5,125.4,92.4,0.9709,33.0,5.0,125.497077,90.71384,34.783237,-0.459845,0.72584,0.8,6,1777.42,5,-5,6,1903.0,33.7,123.6,89.9,33.69999999999999,4.6,-4.6,1.3581611430955878,1.350553998524383,1.2541262954042893,1.2890576225683859,0.8775862025024305,0.2962723908304222,1.1752225069563926
Illinois,3,South,24-8,False,24,8,Big Ten,6,131.9,98.2,0.9676,33.7,4.0,132.669898,97.901161,34.76873699999999,-4.250009,0.728966,0.4,20,1673.8,8,-8,9,1850.0,35.1,133.3,98.1,35.20000000000002,8.2,-8.2,1.4160691244744397,1.3493872132788878,1.3638825220291175,0.5839840165771418,0.8275552052102565,-1.3579151246394336,0.955905485785779
Nebraska,4,South,26-6,False,26,6,Big Ten,20,117.2,93.5,0.931,23.700000000000003,18.0,119.570317,92.255296,27.315021,-6.211256,0.689732,0.6,24,1650.11,14,-14,30,1739.0,27.5,119.3,91.8,27.5,17.4,-17.4,0.588812247633702,0.7496019820441535,0.7680630060657634,0.42278739694837725,0.6996982121302564,-0.530821366904506,0.535653378635368
Vanderbilt,5,South,26-8,False,26,8,SEC,10,127.5,99.3,0.9461,28.200000000000003,16.0,127.839633,100.040385,27.799248000000006,-0.711685,0.72883,0.8,16,1686.14,13,-13,10,1869.0,27.5,126.9,99.5,27.400000000000006,12.6,-12.6,0.961077842212034,0.788566735083457,0.7680630060657634,0.6679505124074067,0.7664062085198217,0.2962723908304222,0.7672597400534807
North Carolina,6,South,24-8,False,24,8,ACC,27,121.4,100.0,0.903,21.400000000000006,28.0,122.831314,98.610441,24.22087300000001,-5.491767,0.702266,0.6,25,1649.41,24,-24,18,1789.0,24.0,122.3,98.3,24.0,27.6,-27.6,0.3985431659603326,0.5006222417837937,0.49367243950369255,0.41802430561278814,0.5579437198024301,-0.530821366904506,0.3634651707353194
Saint Mary's,7,South,27-5,False,27,5,West Coast,25,119.4,97.6,0.9105,21.80000000000001,23.0,123.080909,98.460536,24.620373,2.079098,0.595711,0.8,19,1675.67,22,-22,23,1881.0,25.5,121.4,96.0,25.400000000000006,27.0,-27.0,0.43163344103396256,0.5327691869958557,0.6112683966017229,0.5967082748593625,0.5662822193511258,0.2962723908304222,0.5059553500181863
Clemson,8,South,24-10,False,24,10,ACC,30,116.6,97.0,0.8923,19.599999999999994,32.0,117.830215,97.972594,19.857620999999995,0.587342,0.676794,0.6,33,1614.89,34,-34,31,1742.0,20.2,117.1,96.9,20.19999999999999,32.6,-32.6,0.2496369281289989,0.14952030688911394,0.1957626815220155,0.18313585860624793,0.4884562235632996,-0.530821366904506,0.1557698787643167
