team_1,team_2,team_1_win_prob,team_2_win_prob
Kansas,Iowa,0.5716523701446389,0.4283476298553611
Kansas,Texas A&M,0.6264033815912096,0.3735966184087904
Kansas,VCU,0.563642507089006,0.43635749291099396
Kansas,McNeese,0.6594590886373896,0.3405409113626105
Kansas,Troy,0.8379832437906439,0.1620167562093561
Kansas,Penn,0.8346483581346567,0.16535164186534332
Kansas,Idaho,0.8365797814507433,0.16342021854925656
Kansas,Lehigh,0.9366254824557473,0.06337451754425286
Kansas,Prairie View A&M,0.9131618693411868,0.0868381306588133
Kansas,Arizona,0.21585513939435558,0.7841448606056444
Kansas,Purdue,0.3007927216301566,0.6992072783698434
Kansas,Gonzaga,0.362548588120471,0.637451411879529
Kansas,Arkansas,0.3672507718830138,0.6327492281169862
Kansas,Wisconsin,0.42600282532880673,0.5739971746711933
Kansas,BYU,0.5302161993258904,0.46978380067410974
Kansas,Miami (FL),0.5608532563757217,0.43914674362427836
Kansas,Villanova,0.5818511419025114,0.4181488580974886
Kansas,Utah St.,0.507719608701665,0.49228039129833506
Kansas,Missouri,0.658861977864428,0.34113802213557204
Kansas,NC State,0.6309046025549165,0.36909539744508346
Kansas,Texas,0.6663941122897057,0.3336058877102943
Kansas,High Point,0.7017530812490523,0.2982469187509476
Kansas,Hawaii,0.7979024952199995,0.20209750478000052
Kansas,Kennesaw St.,0.865160592960643,0.13483940703935698
Kansas,Queens (N.C.),0.8875002242746649,0.112499775725335
Kansas,Long Island,0.903265056325005,0.09673494367499498
St. John's,Louisville,0.5849532113501855,0.41504678864981454
