team_name,wins,losses,win_pct,srs,sos,points_for,points_against,year
NJIT,11.0,18.0,0.379,-14.63,-6.17,1826.0,2030.0,2022
Norfolk State,24.0,7.0,0.774,-3.91,-9.3,2302.0,1997.0,2022
North Alabama,9.0,21.0,0.3,-11.33,-3.21,2081.0,2056.0,2022
North Carolina,29.0,10.0,0.744,15.5,8.89,3038.0,2780.0,2022
North Carolina A&T,12.0,20.0,0.375,-9.91,-4.46,2167.0,2250.0,2022
North Carolina Central,16.0,15.0,0.516,-11.39,-7.47,2256.0,2120.0,2022
North Dakota,6.0,25.0,0.194,-16.57,-5.26,2178.0,2444.0,2022
North Dakota State,23.0,10.0,0.697,-1.6,-4.66,2469.0,2267.0,2022
North Florida,11.0,20.0,0.355,-8.35,0.08,2124.0,2206.0,2022
North Texas,25.0,7.0,0.781,8.98,1.28,2083.0,1783.0,2022
Northeastern,9.0,22.0,0.29,-6.0,-1.19,1993.0,2142.0,2022
Northern Arizona,9.0,23.0,0.281,-13.5,-4.1,2161.0,2347.0,2022
Northern Colorado,22.0,16.0,0.579,-4.53,-3.67,2962.0,2924.0,2022
Northern Illinois,9.0,21.0,0.3,-10.5,-3.07,1923.0,2146.0,2022
Northern Iowa,20.0,12.0,0.625,5.79,3.43,2383.0,2273.0,2022
Northern Kentucky,20.0,12.0,0.625,-3.19,-6.19,2237.0,2083.0,2022
Northwestern,15.0,16.0,0.484,8.91,7.11,2262.0,2168.0,2022
Northwestern State,9.0,23.0,0.281,-14.06,-3.2,2363.0,2573.0,2022
Notre Dame,24.0,11.0,0.686,11.87,7.01,2540.0,2349.0,2022
Oakland,20.0,12.0,0.625,-1.52,-4.06,2381.0,2194.0,2022
nan,,,,,,,,2022
School,,,,,,,,2022
Ohio,25.0,10.0,0.714,1.5,-4.17,2591.0,2378.0,2022
Ohio State,20.0,12.0,0.625,14.17,9.08,2329.0,2166.0,2022
Oklahoma,19.0,16.0,0.543,14.12,10.1,2417.0,2276.0,2022
Oklahoma State,15.0,15.0,0.5,13.28,10.58,2051.0,1970.0,2022
Old Dominion,13.0,19.0,0.406,-1.32,-0.09,2127.0,2145.0,2022
Omaha,5.0,25.0,0.167,-16.99,-2.27,2088.0,2505.0,2022
Oral Roberts,19.0,12.0,0.613,-0.84,-4.49,2582.0,2306.0,2022
Oregon,20.0,15.0,0.571,10.05,8.05,2532.0,2440.0,2022
Oregon State,3.0,28.0,0.097,-1.44,8.4,2117.0,2422.0,2022
