team1,seed1,team2,seed2,team1_win_prob
UConn,2,LIU,16,0.9861463745118143
UConn,2,Utah State,9,0.5220164792123592
UConn,2,High Point,12,0.3568990640031816
UConn,2,Hawaii,13,0.9238687477249525
UConn,2,Texas,11,0.6643350636243521
UConn,2,Kennesaw State,14,0.3088196691308739
UConn,2,Missouri,10,0.8227813534597499
UConn,2,Queens,15,0.9756813593892717
UConn,2,Prairie View A&M,16,0.602668404457358
UConn,2,Iowa,9,0.773381831365062
UConn,2,McNeese,12,0.4929546720054835
UConn,2,Troy,13,0.7396086685706796
UConn,2,VCU,11,0.8690270929520907
UConn,2,Penn,14,0.8577400728332794
UConn,2,Texas A&M,10,0.836214593548405
UConn,2,Idaho,15,0.6559578299185561
UConn,2,Howard,16,0.9554601965147151
UConn,2,Saint Louis,9,0.6595750132681093
UConn,2,Akron,12,0.6997590267616928
UConn,2,Hofstra,13,0.7348438360927958
UConn,2,Miami (OH),11,0.5016542460885578
UConn,2,Wright State,14,0.8024138406183182
UConn,2,Santa Clara,10,0.7195346879967393
UConn,2,Tennessee State,15,0.8967316971839303
Arizona,1,Duke,1,0.49831613325144075
Arizona,1,Ohio State,8,0.805743692030053
Arizona,1,St. John's,5,0.6994868489739668
Arizona,1,Kansas,4,0.6458220022500394
Arizona,1,Louisville,6,0.8063942085222318
Arizona,1,Michigan State,3,0.726919742083082
Arizona,1,UCLA,7,0.7688194194029451
Arizona,1,UConn,2,0.6553008116291945
Arizona,1,Villanova,8,0.8451548284939007
Arizona,1,Wisconsin,5,0.7046031857673691
Arizona,1,Arkansas,4,0.6555848737851121
Arizona,1,BYU,6,0.7250289980929733
Arizona,1,Gonzaga,3,0.8426823695401203
Arizona,1,Miami (FL),7,0.8735193861352084
Arizona,1,Purdue,2,0.486672591571167
Arizona,1,Florida,1,0.6439491795169948
Arizona,1,Clemson,8,0.8215740355613385
Arizona,1,Vanderbilt,5,0.6953633657766152
Arizona,1,Nebraska,4,0.8004248976580903
Arizona,1,North Carolina,6,0.8149417489156299
Arizona,1,Illinois,3,0.7900175784101151
Arizona,1,Saint Mary's,7,0.7976898140479319
Arizona,1,Houston,2,0.6079064563710495
Arizona,1,Michigan,1,0.4220106413700009
Arizona,1,Georgia,8,0.8924506919255454
Arizona,1,Texas Tech,5,0.7287584200051449
Arizona,1,Alabama,4,0.6982103501394673
Arizona,1,Tennessee,6,0.7812732425489646
Arizona,1,Virginia,3,0.709595747336381
Arizona,1,Kentucky,7,0.7499151427479142
Arizona,1,Iowa State,2,0.6644231346564413
Arizona,1,Siena,16,0.9941359511137733
Arizona,1,TCU,9,0.8618140818986855
Arizona,1,Northern Iowa,12,0.8354042229292868
Arizona,1,California Baptist,13,0.9802652234002929
Arizona,1,South Florida,11,0.8508312375191517
Arizona,1,North Dakota State,14,0.8679561135737597
Arizona,1,UCF,10,0.8506515026075626
Arizona,1,Furman,15,0.8992470559666023
Arizona,1,LIU,16,0.9926645941468301
Arizona,1,Utah State,9,0.6749248940796939
Arizona,1,High Point,12,0.5133901937749754
Arizona,1,Hawaii,13,0.9584545217335019
Arizona,1,Texas,11,0.7900282078773866
Arizona,1,Kennesaw State,14,0.4592851048010088
Arizona,1,Missouri,10,0.8982316184041392
Arizona,1,Queens,15,0.9870588200740003
Arizona,1,Prairie View A&M,16,0.7425028804337293
Arizona,1,Iowa,9,0.8664500189129579
Arizona,1,McNeese,12,0.6489071879480725
Arizona,1,Troy,13,0.843744583027083
Arizona,1,VCU,11,0.9265461189988454
Arizona,1,Penn,14,0.9197582947052939
Arizona,1,Texas A&M,10,0.9065949590602683
Arizona,1,Idaho,15,0.7837668778576812
Arizona,1,Howard,16,0.9760660457086818
Arizona,1,Saint Louis,9,0.7864777141401152
Arizona,1,Akron,12,0.8158639756978301
Arizona,1,Hofstra,13,0.840474298212168
Arizona,1,Miami (OH),11,0.6567939326599009
Arizona,1,Wright State,14,0.8853269536456508
Arizona,1,Santa Clara,10,0.8298517493122677
Arizona,1,Tennessee State,15,0.9428834352206529
Villanova,8,Duke,1,0.15396575788140393
Villanova,8,Ohio State,8,0.43180099752755574
Villanova,8,St. John's,5,0.29896346288355463
Villanova,8,Kansas,4,0.25042070359181967
Villanova,8,Louisville,6,0.4328222799482773
Villanova,8,Michigan State,3,0.32782390194069183
Villanova,8,UCLA,7,0.37861355594077534
Villanova,8,UConn,2,0.258328987080072
Villanova,8,Arizona,1,0.15484517150609972
Villanova,8,Wisconsin,5,0.3041149119422536
Villanova,8,Arkansas,4,0.25857005183660564
Villanova,8,BYU,6,0.3257330085813056
Villanova,8,Gonzaga,3,0.4953074128466446
Villanova,8,Miami (FL),7,0.5585667137034501
Villanova,8,Purdue,2,0.14799468809050778
Villanova,8,Florida,1,0.24888874740646597
Villanova,8,Clemson,8,0.45759068917479084
Villanova,8,Vanderbilt,5,0.2948842055287943
Villanova,8,Nebraska,4,0.42356831416219703
Villanova,8,North Carolina,6,0.44654305851355325
Villanova,8,Illinois,3,0.40804268517016695
Villanova,8,Saint Mary's,7,0.41941474222004554
Villanova,8,Houston,2,0.22121954659474752
Villanova,8,Michigan,1,0.11798838442422598
